"Study #","Authors","Excluded?","Medium","Method","Collection equipment","Equip Length (mm)","Equip Diam (mm)","Climate","Year (publication)","Year (sampling)","Habitat Sampled","Site names","Spatial level","Spatial separation (m)","n","Inorganic C %","Carbonate  (%DW)","% mud (""silt & clay"", <63um)","DBD (Dry Bulk Density (g mL-1) = g (cm-3))","Corg (% DW)","Variance type(s)","InorgC var","Carb var","%mud var","DBD var","Corg var","Dating?","SAR (linear)","SAR units","SAR variance","SAR variance type","Sed MAR (mass)","Sed MAR units","MAR variance","MAR variance type","C donor isotope signatures","Core depth (m)","Core depth midpoint (m)","% Mangrove","% Seagrass","% Macroalgae","% saltmarsh","%Epiphytes/MPB","% Plantkon","% SPOM","% Terrestrial","AutochReported","AllochReported","%Tricho","Coral","Sewage","SUM","Autochthonous","Autoch_var","Allochthonous","Variance Type","% MNG Var","% SGR Var","% MAC Var","%EPIP Var","% PLK Var","% Tricho Var","%saltmarsh Var","%SPOM var","% Terrestrial var","Autochth. % var","Allochth. % var","Coral % Var","Sewage % Variability","OCsource_C13","OCsource_N15","OCsource_CN","OCsource_CPratio","OCsource_eDNA","OCsource_lipids","OCsource_lignin","No. source markers","End-members attempted","End-members reported","Attempted vs reported differences","Analysis method","Analysis method (detail)","Location","Nation","Lat (decimal)","Long (decimal)","Water depth (m)","SST min (C)","SST mean (C)","SST max (C)","Salinity","Salinity units","Macrophyte composition","Epiphyte composition","Seascape context","Habitat area data?","OC source marker measured","Source analysis notes","Notes","Data","Seston/SPOM"
110,"Waterson et al 2008",NA,"sediment","coring","Box Corer","500","500","Temperate",2008,"2003-2004","Saltmarsh","Gulf of Mexico","Among sites",200,3,NA,NA,NA,NA,4.1,"SD",NA,NA,NA,NA,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0-0.01",0.005,NA,NA,NA,51,NA,NA,NA,49,NA,49,NA,NA,NA,149,51,18,49,"SD",NA,NA,NA,NA,NA,NA,18,NA,NA,NA,18,NA,NA,1,NA,NA,NA,NA,NA,NA,1,2,3,NA,"Linear mixing model","Mixing model","Mississippi","USA",29.295,-90.071667,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Autothonous = saltmarsh plants",NA,NA,NA
110,"Waterson et al 2008",NA,"sediment","coring","Box Corer","500","500","Temperate",2008,"2003-2004","Saltmarsh","Gulf of Mexico","Among sites (FAs)",200,3,NA,NA,NA,NA,4.1,"SD",NA,NA,NA,NA,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0-0.01",0.005,NA,NA,NA,50,NA,NA,NA,50,NA,50,NA,NA,NA,150,50,5,50,"SD",NA,NA,NA,NA,NA,NA,5,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,3,NA,"Linear mixing model","Mixing model","Mississippi","USA",29.295,-90.071667,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Auto = sat SCFA (C12-C18), Alloch = sat LCFA (C22-C30) / Total sat Fas","Autothonous = saltmarsh plants",NA,NA,NA
110,"Waterson et al 2008",NA,"sediment","coring","Box Corer","500","500","Temperate",2008,"2003-2004","Saltmarsh","Gulf of Mexico","Among sites (Sterols)",200,3,NA,NA,NA,NA,4.1,"SD",NA,NA,NA,NA,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0-0.01",0.005,NA,NA,NA,28,NA,NA,NA,72,NA,72,NA,NA,NA,172,28,21.5,72,"SD",NA,NA,NA,NA,NA,NA,21.5,NA,NA,NA,21.5,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,3,NA,"Linear mixing model","Mixing model","Mississippi","USA",29.295,-90.071667,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"See Table 4 cholesterols / Total sterols","Autothonous = saltmarsh plants",NA,NA,NA
111,"Wilson et al 1985",NA,"sediment","coring","Push Corer","300","100","Temperate",1985,"1984","Saltmarsh","Great Sippewissett Marsh","Among sites",480,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Local saltmarsh & terrestrial plants","0-0.3",0.15,NA,32.5,NA,16.3333333333333,NA,NA,51.1666666666667,NA,NA,NA,NA,NA,NA,100,16.3333333333333,12.0554275466834,83.6666666666667,"SD",NA,3.53553390593274,NA,NA,NA,NA,12.0554275466834,14.2945210949277,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,2,3,"Further split of marine into seagrass/non-seagrass due ot distance from mixing line","Linear mixing model","Mixing model","Massachusetts","USA",41.583333,-70.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lignin-derived phenolic yield (A) vs 13C",NA,NA,NA,NA
1,"Hidayah et al. 2021",NA,"Sediment","coring","Push Corer","1500","50","Tropical",2021,"2016","Seagrass",NA,"Among sites",4000,2,NA,NA,NA,1.305,0.92,"SD",NA,NA,NA,0.106066017177982,1.00919109521768,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mangrove, Seagrass, Macroalgae, Seston, Epiphytes (Table S3)","0 - 1",0.5,50.5,9.5,8,NA,9,NA,20.75,NA,NA,NA,NA,NA,NA,47.25,9.5,1.73205080756888,90.5,"SD",11.474609652039,1.73205080756888,4.89897948556636,8.28653526310404,NA,NA,NA,11.842719282327,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,2,5,5,NA,"Bayesian Mixing Model (SimmR)","SimmR v4.02","Sungai Pulai","Malaysia",1.33333,103.58333,"3",28.2,NA,30,32.5,"ppt","Cymodocea serrulata, Halophila ovalis, Halodule pinifolia, Enhalus acoroides, Thalassia hemprichii","Jania, Ulva, Caulerpa","Modified estuary (commercial seaport), extensive mangroves nearby",NA,"Stable isotopes (C13 & N15)",NA,"epiphytes mostly macroalgae; Table S4, Used polyethylene sample tubes; CaCO3 adjustment? Need to understand carbonate fraction in IC data (Table S1),",NA,"Reported seston, moved to SPOM"
2,"Krause et al 2022",NA,"Sediment","coring","Vibracores",NA,NA,"Temperate",2022,"2016-2018","Seagrass",NA,"Among sites",4300,2,NA,NA,NA,NA,0.11,NA,NA,NA,NA,NA,NA,"Cs137 and Pb-210ex gamma",0.27,"cm/yr",NA,NA,0.41,"g/cm2/yr",NA,NA,"seagrass, saltmarsh plants, plankton, macroalgae","0.2-17",0.95,NA,1,18.5,9.5,NA,71,NA,NA,NA,NA,NA,NA,NA,100,1,0,99,"95%CI",NA,11.1,24.7487373415292,NA,12.7279220613579,NA,12.0208152801713,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,3,5,5,"Two plant groups combined in Satlmarsh source grouping here","Bayesian Mixing Model","MixSIAR","Baja California","Mexico",30.416,-116,"3",NA,NA,NA,NA,NA,"Ulva, Zostera marina, Spartina foliosa, Salicornia pacifica",NA,"Hypersaline Lagoon, saltmarsh surrounds","Yes (Figure 1)","Stable isotopes (C13 & N15)",NA,NA,NA,NA
3,"Samper-Villarreal et al. 2022",NA,"Sediment","coring","Push Corer","390",NA,"Tropical",2022,"2016","Seagrass",NA,"Within site",NA,4,NA,44.175,40,1.025,1.675,"SD",NA,1.2737739202857,0,0.0957427107756338,0.125830573921179,"Pb210 - alpha & gamma spectrometry, undateable",NA,NA,NA,NA,NA,NA,NA,NA,"mangrove, seagrass, SPOM","0.26-0.39",0.33,31,41.25,NA,NA,NA,NA,29.25,NA,NA,NA,NA,NA,NA,70.5,41.25,7.21687836487032,58.75,"SD",4.61880215351701,7.21687836487032,NA,NA,NA,NA,NA,10.6809799800081,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,2,3,3,NA,"Bayesian Mixing Model (SimmR)","SimmR","Perezoso","Costa Rica",9.745913,-82.817664,"1.5",NA,NA,NA,NA,NA,"Thalassia testudinum (dominant), Syringodium filiforme",NA,"seagrass area within coral reef lagoon - anthropogenically impacted by no wastewater treatment","5-10% benthic seagrass cover","Stable isotopes (C13 & N15)",NA,"Low Pb210 concentrations and no sedimentation rates (no dec trend of excess 210Pb = intense sediment mixing in top 10cm)_","Table 2",NA
5,"Hemminga et al., 1994",NA,"Sediment","coring","Push Corer",NA,"70","Tropical",1994,"1992","Seagrass",NA,"Among sites",500,7,NA,56.1671428571428,NA,NA,1.96857142857143,"SD",NA,21.9549809946671,NA,NA,1.8332069220488,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mangrove & Seagrass","7.0000000000000007E-2",0.035,32.1857142857143,66.9714285714286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.9714285714286,66.9714285714286,12.8050399303965,33.0285714285714,"SD",13.1466635274796,12.8050399303965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,0,2,NA,"Not conducted/described","Not conducted","Gazi Bay","Kenya",-4.41666666666667,39.5,"7.0000000000000007E-2",NA,NA,NA,NA,NA,"Thalassodendron ciliatum, Rhizophora mucronata, Ceriops tagal",NA,"Mangrove forest to marine context (""large extent, seagrass and lesser extent macroalgae""",NA,"Stable isotope (C13)","Proportions calculated by SK Wilson using https://www.epa.gov/eco-research/stable-isotope-mixing-models-estimating-source-proportions",NA,"Tables 1-5",NA
6,"Akhand et al., 2021",NA,"Sediment","coring","Push Corer",NA,"80","Temperate",2021,"2017","Seagrass","Seagrass","Within site",NA,3,NA,NA,NA,NA,0.26,NA,NA,NA,NA,NA,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mangrove, River, Seagrass, Coral,","0.03",0.03,32,0.001,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,27.001,0.001,22.3,99.999,"95% CL",8.64016,22.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,2,3,3,"Mixed source class ""Coastal OM"" (seagrass-macroalgae-MPB-coral) not included here","Bayesian Mixing Model","SIAR","Iriomote Island","Japan",24.38,123.88,NA,28.66,31.14,35.81,33.61,"ppt","Rhizophora stylosa, Bruguiera gymnorrhiza,Avicennia marina, Zostera japonica, Enhalus acoroides, Halodule uninervis, Cymodocea rotundata, Heliopora coerulea, Porites spp., and Acropora spp, Digenea simplex and Dictiyota spp.,",NA,"Mangrove forest through seagrass to coral reef",NA,"Stable isotope (C13)",NA,"Table 3, merged seagrass-seaweed-MPB; NOTE_ Column T is combination of seagrass, coral & seaweed source. Alloc = 12%","Tables 1,3",NA
8,"Arina et al. 2023",NA,"Sediment","surface scrape","Syringe",NA,NA,"Tropical",2023,"2020","Seagrass",NA,"Among sites",150,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mangrove, macroalgae, seagrass, seston, epiphytes (Table S1)","0-0.05",0.025,41.0333333333333,9.66666666666667,11.6,NA,10.6333333333333,NA,15.0333333333333,NA,NA,NA,NA,NA,NA,46.9333333333333,9.66666666666667,1.19303534454489,90.3333333333333,"SD",9.29533933395299,1.19303534454489,0.854400374531753,0.404145188432738,NA,NA,NA,4.50814078455114,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,3,5,5,NA,"Bayesian Mixing Model (SimmR)","SimmR","Sungai Pulai","Malaysia",1.33333,103.58333,NA,NA,NA,NA,NA,NA,"Cymodocea serrulata, Halophila, Enhalus acoroides, Amphiroa, Cladophora, Dictyota, Gracilaria, Jania, Ulva, Rhizophora mucronata, Bruguiera parviflora",NA,"Modified estuary (commercial seaport), extensive mangroves nearby",NA,"Stable isotopes (C13 & N15), eDNA macroalgae","two isotopes, five sources; Bayesian SimmR","Used eDNA as well as paired stable isotopes, extra row to enter data extracted from datathief for percent composition and variance","Fig 2","Reported seston, moved to SPOM"
9,"Asplund et al. 2021",NA,"Sediment","coring","Push Corer","600","47","Tropical",2021,"2016","Seagrass",NA,"Among sites",10,13,NA,NA,NA,0.996666666666667,0.556666666666667,"SD",NA,NA,NA,0.202566861389846,0.213853532431273,"Pb210, alpha, undateable",NA,NA,NA,NA,NA,NA,NA,NA,"Mangrove/terrestrial, SPOM, seagrass","0-0.25",0.125,39.3297495826377,30.518714524207,NA,NA,NA,NA,29.9076238174736,NA,NA,NA,NA,NA,NA,60.4263383416806,30.518714524207,9.80393161309304,69.481285475793,"SD",8.3999273004136,9.80393161309304,NA,NA,NA,NA,NA,2.24782753450387,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,2,3,3,NA,"Bayesian Mixing Model","SIAR","Tsimipaika Bay","Madagasgar",-13.485555,48.441666,NA,NA,NA,NA,NA,NA,"Cymodocea rotundata/serrulata, Thalassia hemprichii",NA,"Spatial predictors examined (Fig. 5C)","Yes (Figure 2)","Stable isotopes (C13 & N15)","two isotope, 3 sources, SIAR","Modified mangroves (clearing) in some areas","Fig 2,5",NA
10,"Barry et al. 2018",NA,"Sediment","coring","Push Corer","200","76","Temperate",2018,"2014","Seagrass",NA,"Among sites",26000,3,NA,NA,NA,0.576,3.907,"SD",NA,NA,NA,0.390815813395518,3.9378125907666,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Published values","0.2",0.1,2.33333333333333,40.6666666666667,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.6666666666667,40.6666666666667,11.5902257671425,59.3333333333333,"SD",0.577350269189626,11.5902257671425,10.816653826392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,2,3,3,NA,"Linear mixing model","Mixing models (Hernes et al. 2007)","Central Gulf coast of peninsular Florida","USA",29.0774,-82.831984,"1.2",NA,24.37,NA,24.37,"ppt","Thalassia testudinum",NA,"Seagrass meadows considered sediment-starved (dominated by spring-fed rivers with relatively low rates of freshwater discharge and very low concentrations of lithogenic particles",NA,"Stable isotopes (C13), lignin","Single isotope, 3-source mixing model & lignin mixing model (Hernes et al. 2007)","DBD - Corg model (Fig. 4)","Fig 8C",NA
11,"Billman et al. 2023",NA,"Sediment","coring","Push Corer","300","50","Temperate",2023,"2021","Seagrass",NA,"Among sites",2000,14,NA,NA,NA,1.51071428571429,0.339285714285714,"SD",NA,NA,NA,0.144672802489686,0.230132546613879,NA,NA,NA,NA,NA,NA,NA,NA,NA,"seagrass samples","0-0.25",0.125,NA,17.2142857142857,NA,NA,NA,82.7857142857143,NA,NA,NA,NA,NA,NA,NA,100,17.2142857142857,18.7500915748679,82.7857142857143,"SD",NA,18.7500915748679,NA,NA,18.750091574868,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,2,2,NA,"Linear mixing model","IsoError mixing model","Baltic Sea","Sweden",54.22555,16.0307,"2.0499999999999998",NA,NA,NA,NA,NA,"Zostera marina, Z nolti, Ruppia spp",NA,"Baltic coastline of Sweden",NA,"Stable isotope C13","Single isotope C13 mixing model","Only new data from ""This Study"" included here; their synthesis of other studies (which overlaps with ours) is not included.","supplementary files",NA
12,"Dahl et al 2022b",NA,"Sediment","coring","Push Corer","2000","75","Temperate",2022,"2020","Seagrass",NA,"Among sites",2300,5,NA,NA,NA,NA,4.9,"SD",NA,NA,NA,NA,3.46987031457949,"Pb210ex, alpha",0.146,"cm/yr",0.0294023808559783,"SD",0.0388,"g/cm2/yr",0.0299365996733096,"SD","seagrass samples, others from literature","0-0.5",0.25,NA,38.4,44.6,NA,NA,NA,NA,17.6,NA,NA,NA,NA,NA,100.6,38.4,15.8050624801043,61.6,"SD",NA,15.8050624801043,8.23407554009557,NA,NA,NA,NA,NA,10.3585713300628,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,2,3,3,NA,"Bayesian Mixing Model (SimmR)","SimmR v3.6.3","Skagerrak","Sweden",58.33,11.5,"1.8",NA,NA,NA,NA,NA,"Zostera marina",NA,NA,NA,"Stable isotopes (C13 & N15)","Two isotope, 3 sources; Simmr R v3.6.3",NA,NA,NA
15,"Martins et al 2022",NA,"Sediment","coring","Push Corer","1600","48","Temperate",2022,"2017","Seagrass",NA,"Among sites",780,4,NA,NA,51.4435275735294,NA,1.24378180147059,"SD",NA,NA,27.0846823792969,NA,0.616356873077345,"Pb210 - alpha & gamma spectrometry",0.636,"cm/yr",0.63720064867094,"SD",NA,NA,NA,NA,"Seagrass, microphytobenthos, macroalgae and SPOM","0-1.26",0.63,NA,6.27,10.34,6.27,20.33112577,NA,56.8,NA,NA,NA,NA,NA,NA,100.01112577,6.27,3.55158908164495,93.73,"SD",NA,2.57,1.85016577221903,4.25435430005406,NA,NA,2.57,8.14,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,2,4,5,NA,"Bayesian Mixing Model (SimmR)","SimmR","Ria Formosa","Portugal",36.983051,-7.888546,NA,NA,NA,NA,NA,NA,"Zostera noltei",NA,"Coastal lagoon system boasts peninsulas, barrier islands, and inlets. Tidal-driven with diverse ecosystems, it faces challenges like nitrogen loads, dredging, and clam digging impacts in its expanse",NA,"Stable isotopes (C13 & N15)","Two isotopes, four sources, SimmR","The median flow velocity at each station was 0.34 m s-16","Fig 2",NA
16,"Bouillon et al 2004",NA,"Sediment","coring","Push Corer","60",NA,"Tropical",2004,NA,"Seagrass",NA,"Among sites",400,7,NA,NA,NA,NA,1.7,"SD",NA,NA,NA,NA,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.06",0.06,77.8,22.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.2,22.2,24.3409120617942,77.8,"SD",24.3409120617942,24.3409120617942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,2,2,2,NA,"Not conducted/described","Not conducted","Gazi Bay","Kenya",-4.366666666,39.5,NA,NA,NA,NA,NA,NA,"Thalassodendron ciliatum",NA,"seagrass meadows in front of mangrove forrests","Yes (Figure 1) 6-7km2","Stable isotope (C13), lipids","Single isotope & lipids","Contributions calculated using EPA Table and C13 values in Table 1",NA,NA
18,"Bulmer etal 2020",NA,"sediment","coring","Piston corer",NA,"38","Temperate",2020,"2016","Seagrass","Tairua estuary","Within site",NA,6,NA,NA,10.96,1.17,0.384615384615385,"SD",NA,NA,0.351,0.04,0.628074293021328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.1",0.05,14,24,NA,26,NA,NA,37,NA,NA,NA,NA,NA,NA,87,24,8,76,"SD",12,8,NA,NA,NA,NA,12,9,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,2,5,4,NA,"Bayesian Mixing Model (SimmR)","SimmR & JAGS","Tairua estuary","New Zealand",-37.01667,175.85,NA,NA,NA,NA,NA,NA,"Zostera muelleri",NA,NA,"130.7 Ha Seagrass",NA,"SIMMR mixed models",NA,"Table 2","Reported seston, moved to SPOM"
22,"Dahl et al. 2022a",NA,"sediment","coring","Push Corer","1500","65","Tropical",2022,"2018","Seagrass",NA,"Among sites",7300,2,2.79082485714286,NA,NA,1.28644849521204,0.580575333333333,"SD",2.31402229575165,NA,NA,0.0484971749259788,0.152266488642628,"Pb210ex alpha, , Ra226 gamma",0.36,"cm/yr",0.014142135623731,"SD",0.48,"g/cm2/yr",0.0424264068711929,"SD","Local seagrass, mangrove, terrestrial plant material","0-0.3",0.15,41.5,56.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.25,56.25,7.98943051787797,43.75,"SD",0.707106781186548,7.98943051787797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,2,2,2,"Seagrass only reported for one site","Bayesian Mixing Model (SimmR)","SimmR v3.6.3","Zanzibar","Tanzania",-6.163939,39.197931,NA,NA,NA,NA,NA,NA,"Thalassia hemprichii",NA,"Mangrove area loss","Yes","Stable isotopes (C13 & N15)","1 Isotope, two sources SimmR mixing model",NA,NA,NA
24,"Hidayah et al. 2019",NA,"sediment","coring","Push Corer","500","50","Tropical",2019,NA,"Seagrass",NA,"Among sites",1880,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Local seagrass, seston/SPOM, epiphytes, macroalgae","0-0.5",0.25,NA,3.64333333333333,16.15,NA,7.33333333333333,NA,72.87,NA,NA,NA,NA,NA,NA,99.9966666666667,3.64333333333333,4.09160522696574,96.3566666666667,"SD",NA,4.09160522696574,13.442257994846,7.72331750825598,NA,NA,NA,25.0113194374067,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,2,4,4,NA,"Bayesian Mixing Model","SIAR","Sungai Pulai","Malaysia",1.33333,103.58333,"3",28.2,NA,30,32.5,"ppt","Cymodocea serrulata, Halophila ovalis, Halodule pinifolia, Enhalus acoroides, Thalassia hemprichii","Jania, Ulva, Caulerpa","Modified estuary (commercial seaport), extensive mangroves nearby",NA,"Stable isotopes (C13 & N15)","SIAR, tested both dual and single SIA models",NA,NA,"Reported seston, moved to SPOM"
27,"Garcias-Bonet et al. 2019",NA,"sediment","coring","Push Corer","300","95","Tropical",2019,"2014-2017","Seagrass",NA,"Among sites",1000,27,NA,NA,NA,1.16,0.59,"SD",NA,NA,NA,0.207846096908265,0.259807621135332,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Macroalgae, seagrass, halophytes, mangroves, seston, microbial mats","0-0.1",0.05,12,43,37,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,43,8,57,"SD",5,8,12,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,2,4,4,NA,"Bayesian Mixing Model","Bayesian Mixing Model","Red Sea","Saudi Arabia",20,35,NA,NA,NA,NA,NA,NA,"Halophila stipulacea, Thalassodendron ciliatum, Halophila decipiens, Halodule uninervis, Thalassia hemprichii, Enhalus acoroides, Halophila ovalis",NA,NA,NA,"Stable isotopes (C13 & N15)","Bayesian Mixing Model",NA,NA,NA
29,"Gillis et al. 2014",NA,"sediment","sediment traps","sediment traps",NA,NA,"Tropical",2014,"2011","Seagrass",NA,"Among sites",1300,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mangroves, seagrass, oceanic SPOM, terrestrial trees","0",0,7.90555555555556,6.5037037037037,NA,NA,NA,NA,67.212962962963,18.2944444444444,NA,NA,NA,NA,NA,92.0111111111111,6.5037037037037,7.05226902895729,93.4962962962963,"SD",11.7915871610983,7.05226902895729,NA,NA,NA,NA,NA,23.8790758268757,18.3600865405852,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,3,4,4,NA,"Linear mixing model","Linear mixing model (Phillips & Gregg 2001 Oecologia; Phillips & Koch 2002 Oecologia)","Phang Nga Bay","Thailand",7.89,98.398333,NA,28,NA,NA,NA,NA,NA,NA,NA,"yes (Table 2)","Stable isotopes (C13 & N15)","Linear mixing model",NA,NA,NA
31,"Gonneea et al. 2004",NA,"sediment","coring","Push Corer","500","70","Tropical",2004,"2000-2001","Seagrass",NA,"Among sites",270000,2,NA,NA,NA,NA,3.12563071428571,"SD",NA,NA,NA,NA,0.357455609872879,"Pb210 gamma",0.245,"cm/yr",0.0636396103067894,"SD",NA,NA,NA,NA,"Local to site mangroves (incl. leaf litter), seagrass (incl. wrack), SPM","0-0.2",0.1,7.15296944444444,49.3093833333333,NA,NA,NA,NA,43.9581388888889,NA,NA,NA,NA,NA,NA,93.2675222222222,49.3093833333333,5.84209265593722,50.6906166666667,"SD",8.92649636384394,5.84209265593722,NA,NA,NA,NA,NA,3.67906872577159,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,3,3,3,NA,"Mixing diagram","Ternary mixing diagram (Dittmar et al. 2001)","Yucatan Peninsula","Mexico",18.625,-91.75,NA,28.5,NA,NA,NA,NA,"Rhizophora mangle, Avicennia germinans, Laguncularia racemosa, Thalassia testudinum",NA,NA,NA,"Stable isotopes (C13 & N15)","Ternary mixing diagram (after Dittmar et al. 2001)","Riverine input to estuary",NA,NA
35,"Tuntiprapas et al. 2019",NA,"Sediment","coring","Push Corer","450","47","Tropical",2019,"2015","Seagrass",NA,"Among sites",100,3,NA,NA,NA,1.47,0.286666666666667,"SD",NA,NA,NA,0.137477270848675,0.195021366350801,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seagrasses (6 spp.) & macroalgae (Halimeda, 3spp.), Porites, mangrove & terrestrial & marine SPOM (published)","0-0.3",0.15,27.34,23.0862666666667,19.4128333333333,NA,NA,NA,9.66606666666667,NA,NA,NA,NA,12.2356666666667,NA,64.4008333333333,23.0862666666667,2.43766653243083,76.9137333333333,"SD",1.33052355484599,2.43766653243083,1.94390838861643,NA,NA,NA,NA,2.13855458741022,NA,NA,NA,0.526442972536754,NA,1,1,NA,NA,NA,NA,NA,2,5,5,NA,"Bayesian Mixing Model (SimmR)","SimmR","Phuket","Thailand",7.81,98.4055,NA,NA,NA,NA,NA,NA,"Cymodocea rotundata, C. serrulata, Halophila ovalis, Halimeda macroloba, H. borneensis, H. opuntia",NA,"Coral reef nearby",NA,"Stable isotopes (C13 & N15)","Mixing models (Simmr in R)",NA,NA,NA
39,"Stankovic et al. 2021",NA,"sediment","coring","Not described",NA,NA,"Tropical",2021,"2018","Seagrass",NA,"Among sites",4000,4,NA,NA,NA,NA,0.4325,"SD",NA,NA,NA,NA,0.331655499532829,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mangrove, seagrass, River POM, Coastal POM, Terrestrial plants","0-0.21",0.105,28.1416666666667,23.1416666666667,NA,NA,NA,NA,14.7916666666667,33.9,NA,NA,NA,NA,NA,71.8333333333333,23.1416666666667,11.9451020490812,76.8583333333333,"SD",12.2877950588137,11.9451020490812,NA,NA,NA,NA,NA,5.22886397973006,4.63904524021279,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,2,5,5,"Riverine POM added to terrestrial/riverine class","Bayesian Mixing Model","MixSIAR","Trang province","Thailand",7.24516516798796,99.3952489585635,NA,NA,NA,NA,NA,NA,"Halophila ovalis, Cymodocea rotundata, C serrulata, Enhalus acoroides, Thalassia hemprichii",NA,NA,"Yes (Figure 2)","Stable isotopes (C13 & N15)","Bayesian Mixing Model (MixSIAR)",NA,NA,NA
40,"Serrano et al. 2021",NA,"sediment","coring","Push Corer","1500","65","Tropical",2021,NA,"Seagrass",NA,"Among sites",8000,5,NA,NA,12.6725,0.86875,1.10416666666667,"SD",NA,NA,13.2446462629105,0.226729464340213,0.474219631878794,"Pb210 alpha, 14C Bayesian chronology building",0.349166666666667,"cm/yr",0.224863477099624,"SD",NA,NA,NA,NA,"Local seagrass, mangrove leaves, Halimeda, seston","0-1",0.5,15.93164,39.3721,9.28932,NA,NA,NA,35.95512,NA,NA,NA,NA,NA,NA,84.61654,39.3721,9.26176336234088,60.6279,"SD",14.5560801032764,9.26176336234088,20.7715509847483,NA,NA,NA,NA,18.5680870797721,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,3,4,NA,"Bayesian Mixing Model (SimmR)","SimmR & JAGS","Caribbean Sea","Colombia",12.5,-72,NA,NA,NA,NA,NA,NA,"Thalassia testudinum",NA,NA,NA,"Stable isotope (C13)","One-isotope two/three source mixing models (R packages simmr & rjags)","Grain Size vs TOC plot (Figure 3)",NA,"Reported seston, moved to SPOM"
